tipo,N,threads,resultado,referencia,erro_relativo,tempo_s,rep
pi,100000000,1,3.1412943200,3.1415926536,9.496253e-05,1.517438,5
integral,100000000,1,0.7468315243,0.7468241328,9.897187e-06,1.671708,5
pi,100000000,2,3.1415143600,3.1415926536,2.492162e-05,0.756712,1
integral,100000000,2,0.7468359286,0.7468241328,1.579459e-05,0.832039,1
pi,100000000,2,3.1415143600,3.1415926536,2.492162e-05,0.757193,2
integral,100000000,2,0.7468359286,0.7468241328,1.579459e-05,0.832045,2
pi,100000000,2,3.1415143600,3.1415926536,2.492162e-05,0.866377,3
integral,100000000,2,0.7468359286,0.7468241328,1.579459e-05,0.886189,3
pi,100000000,2,3.1415143600,3.1415926536,2.492162e-05,0.754657,4
integral,100000000,2,0.7468359286,0.7468241328,1.579459e-05,0.831617,4
pi,100000000,2,3.1415143600,3.1415926536,2.492162e-05,0.757387,5
integral,100000000,2,0.7468359286,0.7468241328,1.579459e-05,0.831325,5
pi,100000000,4,3.1414767200,3.1415926536,3.690281e-05,0.378744,1
integral,100000000,4,0.7468158088,0.7468241328,1.114593e-05,0.415692,1
pi,100000000,4,3.1414767200,3.1415926536,3.690281e-05,0.380145,2
integral,100000000,4,0.7468158088,0.7468241328,1.114593e-05,0.419163,2
pi,100000000,4,3.1414767200,3.1415926536,3.690281e-05,0.380322,3
integral,100000000,4,0.7468158088,0.7468241328,1.114593e-05,0.419227,3
pi,100000000,4,3.1414767200,3.1415926536,3.690281e-05,0.382084,4
integral,100000000,4,0.7468158088,0.7468241328,1.114593e-05,0.416151,4
pi,100000000,4,3.1414767200,3.1415926536,3.690281e-05,0.380351,5
integral,100000000,4,0.7468158088,0.7468241328,1.114593e-05,0.419170,5
pi,100000000,8,3.1414728400,3.1415926536,3.813785e-05,0.211076,1
integral,100000000,8,0.7468122349,0.7468241328,1.593131e-05,0.232239,1
pi,100000000,8,3.1414728400,3.1415926536,3.813785e-05,0.209881,2
integral,100000000,8,0.7468122349,0.7468241328,1.593131e-05,0.230841,2
pi,100000000,8,3.1414728400,3.1415926536,3.813785e-05,0.210113,3
integral,100000000,8,0.7468122349,0.7468241328,1.593131e-05,0.232523,3
pi,100000000,8,3.1414728400,3.1415926536,3.813785e-05,0.210379,4
integral,100000000,8,0.7468122349,0.7468241328,1.593131e-05,0.232146,4
pi,100000000,8,3.1414728400,3.1415926536,3.813785e-05,0.210119,5
integral,100000000,8,0.7468122349,0.7468241328,1.593131e-05,0.232192,5
pi,100000000,10,3.1414605200,3.1415926536,4.205943e-05,0.173852,1
integral,100000000,10,0.7468303950,0.7468241328,8.385125e-06,0.191225,1
pi,100000000,10,3.1414605200,3.1415926536,4.205943e-05,0.173934,2
integral,100000000,10,0.7468303950,0.7468241328,8.385125e-06,0.193391,2
pi,100000000,10,3.1414605200,3.1415926536,4.205943e-05,0.173214,3
integral,100000000,10,0.7468303950,0.7468241328,8.385125e-06,0.193347,3
pi,100000000,10,3.1414605200,3.1415926536,4.205943e-05,0.173801,4
integral,100000000,10,0.7468303950,0.7468241328,8.385125e-06,0.191153,4
pi,100000000,10,3.1414605200,3.1415926536,4.205943e-05,0.173337,5
integral,100000000,10,0.7468303950,0.7468241328,8.385125e-06,0.191216,5
pi,100000000,20,3.1415956800,3.1415926536,9.633363e-07,0.087638,1
integral,100000000,20,0.7468580080,0.7468241328,4.535901e-05,0.096164,1
pi,100000000,20,3.1415956800,3.1415926536,9.633363e-07,0.089369,2
integral,100000000,20,0.7468580080,0.7468241328,4.535901e-05,0.095709,2
pi,100000000,20,3.1415956800,3.1415926536,9.633363e-07,0.087720,3
integral,100000000,20,0.7468580080,0.7468241328,4.535901e-05,0.095873,3
pi,100000000,20,3.1415956800,3.1415926536,9.633363e-07,0.088377,4
integral,100000000,20,0.7468580080,0.7468241328,4.535901e-05,0.095677,4
pi,100000000,20,3.1415956800,3.1415926536,9.633363e-07,0.087302,5
integral,100000000,20,0.7468580080,0.7468241328,4.535901e-05,0.095898,5
pi,100000000,40,3.1413996000,3.1415926536,6.145087e-05,0.085369,1
integral,100000000,40,0.7468252930,0.7468241328,1.553430e-06,0.085489,1
pi,100000000,40,3.1413996000,3.1415926536,6.145087e-05,0.099501,2
integral,100000000,40,0.7468252930,0.7468241328,1.553430e-06,0.084979,2
pi,100000000,40,3.1413996000,3.1415926536,6.145087e-05,0.085314,3
integral,100000000,40,0.7468252930,0.7468241328,1.553430e-06,0.086796,3
pi,100000000,40,3.1413996000,3.1415926536,6.145087e-05,0.084726,4
integral,100000000,40,0.7468252930,0.7468241328,1.553430e-06,0.085113,4
pi,100000000,40,3.1413996000,3.1415926536,6.145087e-05,0.084844,5
integral,100000000,40,0.7468252930,0.7468241328,1.553430e-06,0.085289,5
pi,500000000,1,3.1415214080,3.1415926536,2.267818e-05,7.370620,1
integral,500000000,1,0.7468234141,0.7468241328,9.623148e-07,8.308288,1
pi,500000000,1,3.1415214080,3.1415926536,2.267818e-05,7.394846,2
integral,500000000,1,0.7468234141,0.7468241328,9.623148e-07,8.292310,2
pi,500000000,1,3.1415214080,3.1415926536,2.267818e-05,7.523415,3
integral,500000000,1,0.7468234141,0.7468241328,9.623148e-07,8.305852,3
pi,500000000,1,3.1415214080,3.1415926536,2.267818e-05,7.567471,4
integral,500000000,1,0.7468234141,0.7468241328,9.623148e-07,8.289321,4
pi,500000000,1,3.1415214080,3.1415926536,2.267818e-05,7.505908,5
integral,500000000,1,0.7468234141,0.7468241328,9.623148e-07,8.307482,5
pi,500000000,2,3.1415303120,3.1415926536,1.984394e-05,3.801863,1
integral,500000000,2,0.7468286204,0.7468241328,6.008898e-06,4.194330,1
pi,500000000,2,3.1415303120,3.1415926536,1.984394e-05,3.791558,2
integral,500000000,2,0.7468286204,0.7468241328,6.008898e-06,4.195303,2
pi,500000000,2,3.1415303120,3.1415926536,1.984394e-05,3.720517,3
integral,500000000,2,0.7468286204,0.7468241328,6.008898e-06,4.220732,3
pi,500000000,2,3.1415303120,3.1415926536,1.984394e-05,3.773325,4
integral,500000000,2,0.7468286204,0.7468241328,6.008898e-06,4.194155,4
pi,500000000,2,3.1415303120,3.1415926536,1.984394e-05,3.805987,5
integral,500000000,2,0.7468286204,0.7468241328,6.008898e-06,4.192654,5
pi,500000000,4,3.1415832320,3.1415926536,2.998985e-06,1.904511,1
integral,500000000,4,0.7468186863,0.7468241328,7.292894e-06,2.097737,1
pi,500000000,4,3.1415832320,3.1415926536,2.998985e-06,1.875258,2
integral,500000000,4,0.7468186863,0.7468241328,7.292894e-06,2.096545,2
pi,500000000,4,3.1415832320,3.1415926536,2.998985e-06,1.907533,3
integral,500000000,4,0.7468186863,0.7468241328,7.292894e-06,2.096635,3
pi,500000000,4,3.1415832320,3.1415926536,2.998985e-06,1.941594,4
integral,500000000,4,0.7468186863,0.7468241328,7.292894e-06,2.096646,4
pi,500000000,4,3.1415832320,3.1415926536,2.998985e-06,1.873284,5
integral,500000000,4,0.7468186863,0.7468241328,7.292894e-06,2.101569,5
pi,500000000,8,3.1417013200,3.1415926536,3.458959e-05,1.047956,1
integral,500000000,8,0.7468399691,0.7468241328,2.120481e-05,1.164755,1
pi,500000000,8,3.1417013200,3.1415926536,3.458959e-05,1.047310,2
integral,500000000,8,0.7468399691,0.7468241328,2.120481e-05,1.161169,2
pi,500000000,8,3.1417013200,3.1415926536,3.458959e-05,1.054085,3
integral,500000000,8,0.7468399691,0.7468241328,2.120481e-05,1.160902,3
pi,500000000,8,3.1417013200,3.1415926536,3.458959e-05,1.048350,4
integral,500000000,8,0.7468399691,0.7468241328,2.120481e-05,1.161234,4
pi,500000000,8,3.1417013200,3.1415926536,3.458959e-05,1.046170,5
integral,500000000,8,0.7468399691,0.7468241328,2.120481e-05,1.160813,5
pi,500000000,10,3.1416668000,3.1415926536,2.360154e-05,0.871922,1
integral,500000000,10,0.7468439532,0.7468241328,2.653960e-05,0.957990,1
pi,500000000,10,3.1416668000,3.1415926536,2.360154e-05,0.868260,2
